"","FID_1","modelLessVarsPredictedNoLabels"
"275","NT/58541/27387","PGRS"
"276","NT/59529/21001","SB"
"277","NT/58101/26008","PGRS"
"278","NT/57266/29937","PGRS"
"279","NT/58388/21558","WO"
"280","NT/59215/21401","PGRS"
"281","NT/57542/26379","WOSR"
"282","NT/57503/28596","WOSR"
"283","NT/59541/20155","WB"
"284","NT/56938/28804","PGRS"
"285","NT/59033/25558","PGRS"
"286","NT/59324/26620","PGRS"
"287","NT/57142/24873","PGRS"
"288","NT/57189/26080","PGRS"
"289","NT/56931/27365","SB"
"290","NT/58673/20173","PGRS"
"291","NT/57094/26354","PGRS"
"292","NT/56880/26950","SB"
"293","NT/56857/27800","PGRS"
"294","NT/59787/25585","PGRS"
"295","NT/57986/27730","WB"
"296","NT/58293/22892","PGRS"
"297","NT/56992/20560","PGRS"
"298","NT/57262/20592","PGRS"
"299","NT/59059/29600","SB"
"300","NT/59247/29463","SB"
"301","NT/56868/26124","WW"
"302","NT/57608/29396","PGRS"
"303","NT/59394/29200","WW"
"304","NT/59370/25479","WW"
"305","NT/59108/29960","SB"
"306","NT/57244/26883","PGRS"
"307","NT/58184/24816","PGRS"
"308","NT/59007/27934","PGRS"
"309","NT/58776/24092","WBS"
"310","NT/57480/27416","SB"
"311","NT/57110/28114","PGRS"
"312","NT/58058/20043","PGRS"
"313","NT/57535/29183","PGRS"
"314","NT/58791/26704","SB"
"315","NT/59135/26440","PGRS"
"316","NT/57584/28182","SB"
"317","NT/59513/28833","PGRS"
"318","NT/59472/27922","WW"
"319","NT/57123/28993","PGRS"
"320","NT/57048/24575","PGRS"
"321","NT/57798/21275","WW"
"322","NT/59870/28855","PGRS"
"323","NT/57093/20882","PGRS"
"324","NT/57265/25403","WBS"
"325","NT/59617/26809","SO"
"326","NT/58807/22016","PGRS"
"327","NT/58161/24617","PGRS"
"328","NT/57242/24667","PGRS"
"329","NT/57670/29072","PGRS"
"330","NT/59250/22341","PGRS"
"331","NT/58360/29077","WW"
"332","NT/58552/28885","WW"
"333","NT/58803/25322","PGRS"
"334","NT/57952/29641","PGRS"
"335","NT/58007/26797","PGRS"
"336","NT/58538/29322","WOSR"
"337","NT/59687/23434","PGRS"
"338","NT/59219/20731","PGRS"
"339","NT/57432/21262","PGRS"
"340","NT/58421/21267","PGRS"
"341","NT/57513/27770","WOSR"
