Id,FID_1,LCGROUP,LCTYPE,AREA,GROSS_AREA,_count,_sum,_mean,_1mean,_1range,_1variance,_2mean,_2range,_2variance,_3mean,_3range,_3variance,_4mean,_4range,_4variance,_5mean,_5range,_5variance,_6mean,_6range,_6variance,_7mean,_7range,_7variance,_8mean,_8range,_8variance,_9mean,_9range,_9variance,_1.2mean,_1.2range,_1.2varian,_2.2mean,_2.2range,_2.2varian,_3.2mean,_3.2range,_3.2varian,_4.2mean,_4.2range,_4.2varian,_5.2mean,_5.2range,_5.2varian,_6.2mean,_6.2range,_6.2varian,_7.2mean,_7.2range,_7.2varian,_8.2mean,_8.2range,_8.2varian,_9.2mean,_9.2range,_9.2varian
0,NT/64599/22248,Arable,TSF,3.662,3.662,368,-6642.379529,-18.04994437,-12.62884077,6.692503929,1.134732969,-11.33577043,5.550448418,1.248819012,-14.0764596,6.936266899,1.549970553,-8.830054098,5.669704437,1.170843995,-12.01952566,5.497306824,0.939349888,-13.39887872,5.582046509,0.828879614,-10.27782126,8.559181213,1.921773316,-8.227181294,8.095959187,1.970140984,-13.81334405,8.978947639,2.346686584,-21.24956803,5.12787056,1.063763863,-18.36234943,6.318686485,2.048147075,-20.79577298,7.128334045,1.060897697,-15.25565363,5.777956009,1.503949345,-21.33990341,9.958667755,2.378843286,-12.59745203,6.121910095,1.215697721,-17.97915038,7.019816399,2.073441384,-13.84995701,7.935034752,1.7293452,-13.81334405,8.978947639,2.346686584
0,NT/64486/22035,Permanent Grassland,PGRS,3.597,3.597,364,-5424.3317,-14.90201017,-13.15529772,7.048633575,1.409207516,-12.24592294,5.139000893,0.969657906,-13.95678958,6.805803299,1.395246047,-11.62963629,7.138325214,1.277469531,-12.6894149,6.852746964,1.182707302,-16.2068447,8.88859272,2.470859834,-13.18598951,5.719152451,1.459870888,-14.10089437,9.7914505,2.821764968,-20.44818718,8.73393631,2.358778458,-22.01547233,10.51071358,3.431965832,-19.7386436,8.923723221,2.62239082,-22.15529415,9.734166145,2.385688163,-18.6263127,10.50194454,3.160444951,-19.5769128,6.984327316,1.730577974,-14.74845281,10.20599556,1.889930158,-19.29917926,7.429806709,1.579252981,-20.82720628,10.00695896,2.454912187,-20.44818718,8.73393631,2.358778458
0,NT/64543/21675,Permanent Grassland,PGRS,5.98,5.98,599,-9198.652221,-15.3566815,-13.40802879,8.394206047,1.682918172,-12.34660186,8.701120853,1.832220998,-14.45318548,6.897146225,1.672656527,-11.61293528,7.417672157,1.071421857,-13.18134152,7.442272186,1.182909501,-15.09878217,10.89412594,2.736739263,-13.25049331,7.08027935,1.182121905,-14.60029659,8.853737831,1.800439217,-19.37132891,9.234656334,2.19541651,-21.53111645,12.03036594,3.068468889,-19.47781987,8.556224823,1.378947587,-22.15813208,10.00768948,2.193056656,-18.81941681,8.620195389,2.313348623,-19.66995068,9.735724449,1.833244113,-13.62813167,9.768968105,3.007755873,-18.99974697,6.91289711,1.438791287,-20.75225437,10.3434782,2.023810184,-19.37132891,9.234656334,2.19541651
0,NT/65545/22805,Arable,SB,2.768,2.768,278,-5091.480638,-18.31467855,-9.738106175,10.42010736,5.516273038,-5.09150224,9.96583724,2.965208694,-7.751045534,9.205552816,2.02669213,-3.981770319,9.697445065,3.05137964,-11.89024498,9.929543495,5.079265608,-12.41145242,10.48230457,5.704491672,-11.63658668,8.347952366,3.775714039,-10.23572959,7.787211895,2.358444135,-15.83504419,9.285967827,2.302054936,-18.35901056,11.81389332,7.178988375,-13.78355891,10.56027222,3.04453099,-17.43876408,10.93929005,4.743626841,-13.09101435,11.78357315,2.802880244,-20.4831316,15.81149769,15.61374258,-12.55412258,11.7023921,7.184271475,-19.12268213,13.33180237,9.510241475,-16.11314856,8.917570114,3.972707371,-15.83504419,9.285967827,2.302054936
0,NT/65387/22665,Permanent Grassland,PGRS,7.63,7.63,765,-13740.87915,-17.96193353,-13.43784757,8.888391972,1.729575006,-12.22569172,9.519361496,2.542186705,-14.83919479,10.75513506,2.825351896,-11.79309399,10.13169193,2.555121335,-12.40926072,9.776498318,1.911783571,-15.66710183,12.82867479,3.900788664,-13.30124722,11.77524471,2.572952491,-13.38053401,11.3421607,1.995308636,-20.43343662,9.747505188,2.707186963,-21.51715552,14.81987,4.732074464,-19.246793,9.977004051,2.170588485,-21.75727911,12.74164677,3.812908385,-19.19531925,13.06995487,4.20763963,-19.14628522,12.2861948,3.117897584,-15.09288456,13.0775075,3.88990194,-19.31660171,12.37925434,3.004512866,-19.59129356,9.665179253,2.706839578,-20.43343662,9.747505188,2.707186963
0,NT/65183/22342,Arable,SB,4.098,4.098,409,-7733.576942,-18.90850108,-8.528063941,8.90596652,1.817596342,-6.53686786,7.825211763,2.485854033,-9.133869725,8.554016113,2.49222159,-4.397860531,7.994805574,1.933418853,-12.85196703,11.66516924,3.070062915,-13.09787546,11.39001799,3.647379323,-11.97824369,9.656517506,1.989185486,-10.55650701,9.162310123,1.897054824,-17.39236707,8.600373268,1.66189083,-17.466658,11.99869919,2.582715819,-15.256982,7.600860596,1.602826463,-18.46411044,13.67164421,2.993286397,-13.11000943,9.604661942,1.81052621,-22.16378365,14.62377548,10.66437754,-13.87098601,11.12906551,4.224565096,-19.42808808,12.74434757,4.818432766,-16.80666723,10.04973125,2.814211021,-17.39236707,8.600373268,1.66189083
0,NT/65425/22201,Arable,WW,6.382,6.382,639,-11194.48704,-17.51875907,-9.238796029,11.74908495,2.4102974,-7.673020757,9.957219481,2.038074505,-9.539271971,11.73794711,2.43780488,-6.242074832,8.950029373,2.192059533,-11.54950373,9.846199989,2.547303503,-10.32533797,11.63341236,2.958828698,-12.40907696,11.8332715,4.132725159,-11.41452472,9.927443504,2.239650159,-15.90756767,8.327340126,1.935564138,-19.29515784,10.95105076,4.887804454,-17.67351985,9.31583786,3.613400866,-20.13583912,12.44157028,4.297793325,-16.01452689,10.97181034,2.129804901,-21.68474463,15.23098087,5.837307087,-12.22157506,12.07429171,3.226748912,-18.04827001,10.45106316,2.931402369,-17.18825334,9.942483902,2.190330166,-15.90756767,8.327340126,1.935564138
0,NT/65114/22445,Arable,TGRS5,4.288,4.288,427,-7101.064458,-16.63012754,-13.54625288,9.646986961,2.68326015,-10.18058617,6.988609314,1.861792105,-13.93761389,9.775828362,3.219118192,-10.92394164,8.110641003,2.385639449,-12.84206766,6.908698082,1.252639214,-16.00656069,11.85077524,3.002044209,-13.7918009,7.506304741,2.605770833,-14.46489327,8.604215622,2.567378944,-20.20616122,11.07742691,3.234554175,-22.23195669,11.95198631,3.973565179,-17.25866864,8.217411041,2.249593294,-22.31451731,12.7193079,5.231084459,-18.92136284,12.16294384,4.9531128,-19.66670296,9.287712097,2.010390138,-13.36206931,6.203026772,1.230380276,-19.1742697,8.126934052,1.844517711,-20.79264081,11.22886086,3.595271604,-20.20616122,11.07742691,3.234554175
0,NT/65921/19555,Arable,WO,11.494,11.494,1150,0,0,-10.64012223,8.525828838,1.635082307,-9.29677469,6.726570606,1.489734405,-12.32046699,11.29968691,2.074145948,-8.756458224,8.758164406,1.777399736,-14.00276599,12.06629086,2.541485346,-14.73811268,10.77767611,2.749549993,-13.44352925,11.80121756,2.144034376,-12.54006517,9.989006519,1.805844834,-18.58188788,9.29531765,2.09226072,-20.31944789,11.38193035,2.808659418,-17.89064996,9.150499344,1.634382518,-21.03005673,11.90636921,1.749217115,-15.48868267,7.928147316,1.294312291,-20.23679722,11.38996887,2.279475442,-14.99786416,11.83419132,2.84136324,-21.48638295,13.32303143,3.927850533,-21.04831868,13.86656952,3.298615908,-18.58188788,9.29531765,2.09226072
0,NT/65974/19840,Permanent Grassland,PGRS,0.811,0.811,78,0,0,-11.13365592,6.147252083,2.887352745,-9.091931285,5.5774827,1.457665916,-11.22648231,6.307696819,2.109071859,-9.188659061,7.016408443,4.189131214,-11.54839711,6.99016571,3.756831624,-12.03633508,8.293035984,4.586423118,-10.25803348,8.483047962,5.621157795,-11.36121354,7.511255264,2.796218865,-16.9133884,6.447684288,3.688534212,-17.35060644,7.758875847,5.04447901,-15.54141284,8.605395317,6.203679757,-17.63923692,11.37344265,9.439477036,-14.5654808,6.559905052,2.821632613,-17.66322244,9.895270348,6.245491802,-11.14816483,7.746390343,4.527663129,-16.02344113,6.274019241,1.901109161,-17.03424065,7.432776451,3.740652902,-16.9133884,6.447684288,3.688534212
