"path_to_image","image_day","image_month","image_year","geom_wkt"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180413_30_asc_175926_175951_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","13","04","2018","POLYGON((100146.945765249 805755.338067819,100146.945765249 1029985.33806782,400706.945765249 1029985.33806782,400706.945765249 805755.338067819,100146.945765249 805755.338067819))"
"/data/Sentinel1/RFI_masked_images/S1A_20180425_30_asc_175837_175902_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","25","04","2018","POLYGON((154765.351762946 473574.157122871,154765.351762946 693464.157122871,452875.351762946 693464.157122871,452875.351762946 473574.157122871,154765.351762946 473574.157122871))"
"/data/Sentinel1/RFI_masked_images/processed_030719/S1A_20180425_30_asc_175902_175927_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","25","04","2018","POLYGON((127468.789097182 639714.614126278,127468.789097182 861634.614126278,426298.789097182 861634.614126278,426298.789097182 639714.614126278,127468.789097182 639714.614126278))"
"/data/Sentinel1/RFI_masked_images/processed_030719/S1A_20180425_30_asc_175927_175952_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","25","04","2018","POLYGON((100141.291943898 805747.399076164,100141.291943898 1029987.39907616,400701.291943898 1029987.39907616,400701.291943898 805747.399076164,100141.291943898 805747.399076164))"
"/data/Sentinel1/RFI_masked_images/S1A_20180507_30_asc_175837_175902_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","07","05","2018","POLYGON((154750.367282959 473558.968314244,154750.367282959 693458.968314244,452860.367282959 693458.968314244,452860.367282959 473558.968314244,154750.367282959 473558.968314244))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180507_30_asc_175902_175927_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","07","05","2018","POLYGON((127454.319894632 639709.541102927,127454.319894632 861629.541102927,426284.319894632 861629.541102927,426284.319894632 639709.541102927,127454.319894632 639709.541102927))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180507_30_asc_175927_175952_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","07","05","2018","POLYGON((100127.168826871 805742.435836085,100127.168826871 1029982.43583608,400687.168826871 1029982.43583608,400687.168826871 805742.435836085,100127.168826871 805742.435836085))"
"/data/Sentinel1/RFI_masked_images/S1A_20180519_30_asc_175838_175903_DV_Gamma-0_GB_OSGB_RCTK_SpkRL_rfi_removed.tif","19","05","2018","POLYGON((154733.939335006 473554.729702871,154733.939335006 693454.729702871,452833.939335006 693454.729702871,452833.939335006 473554.729702871,154733.939335006 473554.729702871))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180519_30_asc_175903_175928_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","19","05","2018","POLYGON((127437.005011671 639705.073361174,127437.005011671 861625.073361174,426257.005011671 861625.073361174,426257.005011671 639705.073361174,127437.005011671 639705.073361174))"
"/data/Sentinel1/jncc_supplied_images/images_from_jncc_250719/S1A_20180519_30_asc_175928_175953_DV_Gamma-0_GB_OSGB_RCTK_SpkRL.tif","19","05","2018","POLYGON((100112.130977491 805729.46841648,100112.130977491 1029969.46841648,400672.130977491 1029969.46841648,400672.130977491 805729.46841648,100112.130977491 805729.46841648))"
